南京在哪里	在这里了
咋死???红烧还是爆炒	哦了哦了哦了
额麻麻怎么会有那玩意儿	无法理解您的话，获取帮助请发送 help
孩纸新年快乐	{r+}同乐同乐，大家一起乐~
那重点是什么	好话不分轻重！
在上一条我回复你你怎么不回复我	我也要思考啊，不能随便回你话吧，那会让你觉得小天好笨的
章子怡新宠	夜曲小三
求勾引	如果你来勾引我，我一定假装上当！
说不粗来	乱什么呢?
喜欢毛线	最喜欢毛鸭子了，又乖又听话就象我一样！
祝胡子润生日快乐成年happy	祝你生日快乐。
刚才还说女生	刚才是刚才，现在是现在，世事都是会变的
我说你喜欢我不	小天喜欢网友，可以了么！
世界上最帅的人是谁	当然是尊贵的小天小姐啦
那朵花很感人	感人你就请我喝杯奶茶哇
我的愿望会成真吗	我就一个脑袋，思想再活跃也有局限性
你去告诉他我喜欢他好不好	好的啦
亲爱的姐姐	又是亲爱的，这叫法早就落伍了
没教养的	王栎鑫的歌，特好听
呵nmlgb!	不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
明天苏州冷不冷	这气温刚刚好吧？
我是你主人知道了	得了，就你，别在这瞎冒充我主人了
有多久了	爽到飘到火星去了
果果	夜半吃完五斤瓜
就只会笑么	我乐意爱你
冷死了	吵到你逆，？
我要找对象	额~那你去外面找啊
你又吹牛逼	你说吹就吹啊
我是不是三黄	你说是就是吧
你叫小傻瓜	对，我就是傻瓜
包邮不	不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
你刚才说什么	我刚才肿木了？我记性不好，全忘了
你妈的那是我的老婆你这笨	{r-}讲粗口不是好孩子
你是传说我是什么	你是额的优乐美
你真的好傻好天真	你傻！你傻！你就是傻！
作死的	死了我拜你
找不到你给我的回复了	看你那粗心样，肯定找不到
能不呵呵么	呵呵~
拉裤兜子	{face:3}有些同事反映你，白天文明，但不精神，晚上精神，但不文明
你都有孩子拉	梗係有啦
两只老虎跑得快	谈恋爱，谈恋爱，两只都是公的，两只都是公的，真变态，真变态
我愿意管的着吗你	被放逐天际
好一个女的	放他走吧，他不爱你了
还以为你死了	同归于尽
美丽的淑媚是我麻麻	宝贝，你说的话好深奥啊，有点像哥德巴赫猜想，暂时无解！
你才猪	你才別學我說話=，=
封小帆挖~还用问	谈谈情，跳跳舞，跟我搞暧昧啊
那你去哪的	我说过了，你不知道么
我接受了	好啊！
我怎么能让她不发脾气	怎么，你还有意见？
什么时候你的评论能突破万	我哪知道什么时候
爱禁婆	今天是个好日子，怎么不出去玩玩
那他不说你也不说以牙还牙	不说话，光看着？
疼死了，给我揉揉	今天这天气很适合聊天的说
你姓黄吗	小囉…我叫小天雞嘛
你再呵呵傻子	别笑了，露出一嘴的黄牙
你孤独吗	别怕还有我在
我都high死了	{face:14}Hello~
扶你妹夫	做个文明人，OK？
你头像牛逼	有嗎？
因为我听不懂呀＞W＜	不知道不明白的就要问清楚，晓得不
你在说自己	眼熟我吗？做个朋友啊！要加扣扣麽？可以啊！看得懂？
众里寻他千百度	蓦然回首，那人却在灯下写作业
我要分分钟切腹给你看~	我一直在想，但卻怎麼也忘不了你
你心里除了我还有谁	当然是最可爱的麻麻你啦，
能生蛋吗	梁林
不我就要问你	好吧，问我...我有权不回答的吧
你哪里不好了？	不好就不好啦，说这么大声是要全世界的人都听到吗
必须知道啊，寝室长就是个二逼	知道就好
你大爷的我挂科了	说话斯文点，要是惹小天不开心了，我会拉黑哦
用力	你這個小淫娃
没干什么坏事	绝对不是在吃屎
给你按摩按摩	爽唔爽
你的偶像	Hebe
闪十	{face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
好吧我承认你是程序	哦
拿来给我吃	问世间情为何物，只教人生死相随
那你还好不好好回答我问题	这问题太纠结了，小天不想随便回答
怪不得我们两今天吵架了	没事儿，郑允浩会养你的。
主人谁	你
奶秀	知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
等看你	咋啦，咋啦！我美女一枚，哪像你，，，，切→_→
不和你聊了	啊，再说会嘛
哪怕到生命的最后一刻我也会保护你哒	係我嘅錯，你而加男神系崔始源，right
你的程序好强大	小天也觉得蛮强大的啦
你等我吗？	Miss，A裏的成員，又性感嘅可愛，唱歌很吸引人，跳舞也有魅力！
杨阿姨是谁	阿姨是……嘿嘿，就是不告诉你，请我吃饭吧！
柳州美女多，帅锅也多	我就一个脑袋，思想再活跃也有局限性
纯洁善良好少年	你变态又腹黑
西伯来语的我爱你怎么说	爱就要爱一生一世的哦，不许变心，不许多看一眼别的女人
你能改吗	当然能了，，，那是我的乐趣。。。*^o^*
是小萝莉	我不喜欢金鱼，我要喝酸奶，粘稠的乳白色的！！！
你猜猜我的外号	最讨厌猜东西，没劲
我老公不黄	哼，好吧，那我不管你了
床上等你啊	好的啦，一定要等着我哦
在你出身的时候吃过三鹿奶粉吗	与其说是聊天，不如说是问答式的吧
主人我知道我不会出现了对不起	你确定你是真的知道？
花姑娘	系、太君、大大的个花姑娘
敢不敢说句话	为什么不敢，胆小鬼
日你个仙人板板	靠！这么下流
